age;d13C;author
0.001;0.93;
0.002;0.95;
0.002;0.86;
0.003;0.64;
0.003;0.94;
0.004;1.04;
0.004;1.03;
0.005;0.66;
0.006;0.75;
0.006;0.82;
0.007;0.96;
0.007;1.03;
0.008;0.57;
0.008;0.89;
0.009;0.81;
0.01;0.74;
0.01;0.48;
0.012;0.28;
0.012;0.5;
0.014;0.52;
0.015;-0.03;
0.016;0.02;
0.017;-0.17;
0.018;0.03;
0.019;-0.28;
0.02;-0.3;
0.022;-0.43;
0.023;-0.44;
0.025;-0.18;
0.027;-0.33;
0.028;-0.27;
0.029;-0.37;
0.031;-0.28;
0.032;-0.18;
0.034;-0.48;
0.036;0.08;
0.038;-0.23;
0.039;-0.26;
0.041;0.03;
0.043;-0.04;
0.045;-0.31;
0.047;-0.08;
0.049;-0.01;
0.051;0.14;
0.052;-0.11;
0.054;-0.31;
0.056;0.05;
0.057;-0.08;
0.06;-0.07;
0.062;-0.32;
0.064;-0.16;
0.066;-0.29;
0.068;-0.07;
0.071;-0.24;
0.072;-0.18;
0.074;0.35;
0.075;0.49;
0.076;0.52;
0.078;0.3;
0.079;0.42;
0.081;-0.08;
0.083;0.3;
0.085;0.16;
0.086;0.34;
0.088;0.21;
0.09;-0.08;
0.093;0.58;
0.094;0.27;
0.095;0.39;
0.097;0.53;
0.099;0.17;
0.101;0.15;
0.104;0.17;
0.106;-0.22;
0.107;0.32;
0.109;-0.09;
0.11;0.39;
0.112;0.24;
0.113;0.45;
0.114;0.5;
0.115;0.81;
0.116;0.41;
0.118;0.7;
0.119;0.48;
0.119;0.45;
0.12;0.48;
0.121;0.52;
0.122;0.34;
0.124;0.44;
0.125;0.18;
0.126;0.1;
0.127;0.02;
0.129;0.31;
0.13;0.25;
0.131;0.47;
0.132;0.33;
0.133;-0.09;
0.134;0.14;
0.134;0.14;
0.135;-0.06;
0.136;-0.26;
0.138;-0.07;
0.139;0.45;
0.141;-0.17;
0.142;0.12;
0.143;-0.17;
0.144;-0.25;
0.146;-0.36;
0.147;-0.66;
0.149;-0.42;
0.15;0.34;
0.151;-0.23;
0.152;-0.36;
0.155;-0.46;
0.157;-0.42;
0.159;-0.35;
0.16;0.03;
0.163;-0.24;
0.165;-0.69;
