GTS1989_Berggren1995;GTS2004;GTS2012;GTS2016
0;0;0;0
;0.0115;0.0118;0.0118
;0.126;0.126;0.126
;0.781;0.781;0.773
1.85;1.81;1.806;1.8
2.6;2.59;2.588;2.58
3.5;3.6;3.6;3.6
5.32;5.33;5.333;5.33
7.12;7.25;7.246;7.25
11.2;11.61;11.608;11.63
14.8;13.65;13.82;13.82
16.4;15.97;15.97;15.97
20.5;20.43;20.21;20.44
23.8;23.03;23.02;23.03
28.5;28.4;27.86;28.1
33.7;33.9;33.87;33.9
37;37.2;37.64;38
41.3;40.4;41.43;41
49;48.6;48.54;47.8
54.5;55.8;56.15;56
57.9;58.7;59.24;59.2
60.9;61.7;61.33;61.6
65;65.5;66.15;66
74;70.6;72.05;72.1
83;83.5;83.57;84.2
86.6;85.8;86.15;86.5
88.5;89.3;89.73;89.8
90.4;93.5;93.9;93.9
97;99.6;100.2;100.5
112;112;112.6;113.1
124.5;125;126;126.3
131.8;130;131.02;130.8
135;136.4;134.47;134.7
140.7;140.2;140.44;139.4
145.6;145.5;146.39;145
152.1;150.8;153.65;152.1
154.7;155.7;158.87;157.3
157.1;161.2;164.99;163.1
161.3;164.7;167.51;166.1
166.1;167.7;169.63;168.3
173.5;171.6;171.55;170.3
178;175.6;175.4;174.2
187;183;183.5;183.7
194.5;189.6;191.23;191.4
203.5;196.5;199.3;199.4
208;199.6;201.3;201.4
209.5;203.6;209.46;209.6
223.4;216.5;228.35;228.5
235;228;237;237
239.5;237;241.5;241.5
241.1;245;247.06;246.8
;249.7;250.01;249.8
;251;252.16;251.9
;253.8;254.2;254.2
;260.4;259.81;259.8
;265.8;265.14;265.1
;268;268.8;268.8
;270.6;272.3;272.3
;275.6;279.33;282
;284.4;290.06;290.1
;294.6;295.53;295
;299;298.88;298.9
295.1;303.9;303.67;303.4
303;306.5;306.99;306.7
311.3;311.7;315.46;314.6
322.8;318.1;323.23;323.2
332.9;326.4;329.53;330.9
349.5;345.3;346.73;346.7
362.5;359.2;358.94;358.9
367;374.5;372.24;372.2
377;385.3;382.69;382.7
381;391.8;387.72;387.7
386;397.5;393.25;393.3
390;407;407.57;407.6
396;411.2;410.78;410.8
408.5;416;419.2;419.2
410.7;418.7;422.96;423
;421.3;425.57;425.6
424.1;422.9;427.36;427.4
;426.2;430.45;430.5
430.4;428.2;433.35;433.4
;436;438.49;438.5
;439;440.77;440.8
439;443.7;443.83;443.8
;445.6;445.16;445.2
;455.8;452.97;453
;460.9;458.36;458.4
;468.1;467.25;467.3
;471.8;469.96;470
;478.6;477.72;477.7
510;488.3;485.37;485.4
;;489.4;489.5
;;494;494
;;497;497
;501;500.5;500.5
;;504.5;504.5
;;509;509
;513;514;514
;;521;520
;;529;530
570;542;541;541
