name;age;Min;Mean;Max;dR/dt;Mean-min;Max - mean;
Holocene;0.00;0.709174;0.709175;0.709176;;0.000001;0.000001;
Pleistocene;0.05;0.709173;0.709174;0.709176;;0.000002;0.000001;
Pleistocene;0.10;0.709172;0.709174;0.709175;;0.000002;0.000002;
Pleistocene;0.15;0.709170;0.709172;0.709174;;0.000002;0.000002;
Pleistocene;0.20;0.709168;0.709170;0.709171;;0.000001;0.000002;
Pleistocene;0.25;0.709166;0.709167;0.709169;35;0.000002;0.000001;
Pleistocene;0.30;0.709164;0.709165;0.709167;37;0.000001;0.000002;
Pleistocene;0.35;0.709162;0.709164;0.709165;36;0.000001;0.000001;
Pleistocene;0.40;0.709161;0.709162;0.709164;36;0.000001;0.000001;
Pleistocene;0.45;0.709159;0.709161;0.709162;35;0.000001;0.000001;
Pleistocene;0.50;0.709158;0.709159;0.709160;35;0.000001;0.000001;
Pleistocene;0.55;0.709156;0.709157;0.709159;36;0.000001;0.000001;
Pleistocene;0.60;0.709154;0.709155;0.709157;37;0.000002;0.000001;
Pleistocene;0.65;0.709152;0.709153;0.709155;39;0.000001;0.000001;
Pleistocene;0.70;0.709150;0.709151;0.709153;41;0.000001;0.000001;
Pleistocene;0.75;0.709148;0.709149;0.709151;43;0.000001;0.000001;
Pleistocene;0.80;0.709146;0.709147;0.709149;45;0.000001;0.000001;
Pleistocene;0.85;0.709144;0.709145;0.709146;47;0.000001;0.000001;
Pleistocene;0.90;0.709141;0.709143;0.709144;50;0.000001;0.000001;
Pleistocene;0.95;0.709139;0.709140;0.709141;52;0.000001;0.000001;
Pleistocene;1.00;0.709136;0.709137;0.709139;54;0.000001;0.000001;
Pleistocene;1.05;0.709133;0.709135;0.709136;56;0.000001;0.000001;
Pleistocene;1.10;0.709130;0.709132;0.709133;58;0.000001;0.000001;
Pleistocene;1.15;0.709127;0.709128;0.709130;59;0.000001;0.000001;
Pleistocene;1.20;0.709124;0.709125;0.709127;59;0.000001;0.000001;
Pleistocene;1.25;0.709121;0.709122;0.709124;59;0.000001;0.000001;
Pleistocene;1.30;0.709118;0.709119;0.709121;58;0.000001;0.000001;
Pleistocene;1.35;0.709115;0.709116;0.709118;57;0.000001;0.000001;
Pleistocene;1.40;0.709112;0.709114;0.709115;56;0.000002;0.000001;
Pleistocene;1.45;0.709109;0.709111;0.709113;55;0.000002;0.000001;
Pleistocene;1.50;0.709107;0.709108;0.709110;54;0.000002;0.000001;
Pleistocene;1.55;0.709104;0.709106;0.709107;52;0.000001;0.000001;
Pleistocene;1.60;0.709102;0.709103;0.709104;52;0.000001;0.000001;
Pleistocene;1.65;0.709099;0.709100;0.709102;51;0.000001;0.000001;
Pleistocene;1.70;0.709096;0.709098;0.709099;50;0.000001;0.000001;
Pleistocene;1.75;0.709094;0.709095;0.709097;48;0.000001;0.000001;
Pleistocene;1.80;0.709092;0.709093;0.709095;47;0.000001;0.000001;
Pleistocene;1.85;0.709089;0.709091;0.709092;45;0.000001;0.000001;
Pleistocene;1.90;0.709087;0.709089;0.709090;43;0.000002;0.000001;
Pleistocene;1.95;0.709085;0.709086;0.709088;41;0.000002;0.000002;
Pleistocene;2.00;0.709083;0.709084;0.709086;38;0.000002;0.000002;
Pleistocene;2.05;0.709081;0.709083;0.709084;36;0.000002;0.000002;
Pleistocene;2.10;0.709079;0.709081;0.709082;34;0.000002;0.000002;
Pleistocene;2.15;0.709077;0.709079;0.709081;32;0.000002;0.000002;
Pleistocene;2.20;0.709076;0.709078;0.709079;30;0.000002;0.000002;
Pleistocene;2.25;0.709074;0.709076;0.709078;28;0.000002;0.000002;
Pleistocene;2.30;0.709073;0.709075;0.709077;26;0.000002;0.000002;
Pleistocene;2.35;0.709072;0.709074;0.709075;25;0.000002;0.000002;
Pleistocene;2.40;0.709071;0.709072;0.709074;23;0.000002;0.000002;
Pleistocene;2.45;0.709069;0.709071;0.709073;22;0.000002;0.000002;
Pleistocene;2.50;0.709068;0.709070;0.709072;21;0.000002;0.000002;
Pleistocene;2.55;0.709067;0.709069;0.709071;20;0.000002;0.000002;
Pleistocene;2.60;0.709066;0.709068;0.709070;19;0.000002;0.000002;
Pliocene;2.65;0.709065;0.709067;0.709069;18;0.000002;0.000002;
Pliocene;2.70;0.709064;0.709066;0.709069;17;0.000002;0.000002;
Pliocene;2.75;0.709063;0.709066;0.709068;16;0.000002;0.000002;
