Age;Mean
11;16.1
11;16.4
15;18.5
14.5;17.4
20.5;17.7
23;17.1
25;19.0
25;18.6
26.5;16.5
31;16.9
33.5;17.3
41;23.1
53;25.0
51.5;25.1
54;24.3
51;25.2
59;23.4
59;22.3
62.5;21.9
65.5;24.1
66;15.7
70.5;21.6
87;26.7
93.5;28.2
100.5;23.3
105;21.3
106;20.9
109;20.9
110;21.1
96.5;24.2
111;20.9
113;19.5
114;19.4
114.5;20.7
119;23.6
123;22.8
124;21.5
128;22.6
123;22.2
128;19.6
131;21.9
136;18.6
139;19.5
149.5;19.8
152;20.5
157.5;22.2
159.5;19.3
157;20.6
162.5;20.7
165;19.4
166.5;22.7
169;22.0
173;22.9
178.5;23.1
163.5;21.0
191;21.2
200;24.1
200;23.4
205;22.1
214;25.5
213;25.2
222;23.6
231.5;24.7
230.5;24.2
238;24.8
247.5;28.4
250;32.7
250.5;29.2
226;24.9
247.5;28.6
249.5;29.8
256;20.2
260.5;19.3
267;17.2
279.5;14.7
296;11.7
299.5;13.0
301.5;12.6
302;13.1
313.5;12.6
317.5;11.7
323;15.8
308.5;13.9
328;17.2
336;18.8
347.5;20.0
355.5;22.3
359.5;20.6
309;16.7
361.5;21.1
372;24.2
373;24.0
371.5;23.2
380;19.5
383.5;21.2
393;18.7
404;20.6
409;18.5
414;21.6
395.5;20.2
418.5;19.4
428.5;16.3
432.5;17.6
430;17.2
436.5;18.3
443;9.3
442;15.4
449;13.9
464;18.1
477.5;20.5
486;23.0
495.5;22.3
505;24.4
509;24.2
511;25.6
513;23.5
503;23.8
519;24.1
525;24.3
527.5;22.1
499.5;22.1
531;22.6
538.5;22.1
102.5;21.9
122.5;23.4
3;14.7
372.5;26.1
39.4;20.8
41.5;23.1
34;21.4
48.5;24.8
4;15.0
55.6;25.2
5.9;14.9
