,Diversity to Extinction rate,Diversity to Origination rate,Diversity to Temperature,Diversity to δ13C,Diversity to 86Sr/87Sr,Diversity to δ34S,Extinction rate to Diversity,Extinction rate to Origination rate,Extinction rate to Temperature,Extinction rate to δ13C,Extinction rate to 86Sr/87Sr,Extinction rate to δ34S,Origination rate to Diversity,Origination rate to Extinction rate,Origination rate to Temperature,Origination rate to δ13C,Origination rate to 86Sr/87Sr,Origination rate to δ34S,Temperature to Diversity,Temperature to Extinction rate,Temperature to Origination rate,Temperature to δ13C,Temperature to 86Sr/87Sr,Temperature to δ34S,δ13C to Diversity,δ13C to Extinction rate,δ13C to Origination rate,δ13C to Temperature,δ13C to 86Sr/87Sr,δ13C to δ34S,86Sr/87Sr to Diversity,86Sr/87Sr to Extinction rate,86Sr/87Sr to Origination rate,86Sr/87Sr to Temperature,86Sr/87Sr to δ13C,86Sr/87Sr to δ34S,δ34S to Diversity,δ34S to Extinction rate,δ34S to Origination rate,δ34S to Temperature,δ34S to δ13C,δ34S to 86Sr/87Sr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.022232780054889163,-0.02872390539588912,0.006606886330542366,0.05895475113201278,0.00854637830605235,0.10012505053664011,-0.4441401176939903,-0.0707581558704193,0.0138914551955149,0.015384558402325098,0.008621479185964547,0.017798746658713366,-0.30326356369568375,0.14622113701280534,0.0240392377641697,-0.01710774109335283,0.047773744029479565,0.11014204145974842,-0.014718046762117092,-0.00665566632351179,0.03442080105980504,-0.009885435183262847,-0.011909653808862797,-0.056208452248314944,0.04610239018406926,-0.06124440044743979,0.010001895227156374,-0.004908984403046623,-0.028756816795303283,-0.04752433222188171,-0.018601161641908684,-0.11042024985079113,-0.051529212883461586,-0.10074946005884905,0.09313874901578222,-0.1495545594534379,-0.06479882216059166,0.09022187651798408,0.02753734193756,0.06532418283509167,-0.00134357906197211,-0.08012919704212582
2,0.20634877393769957,,,0.05954052459648561,-0.02228118000756333,0.036580636713574796,-0.09010874856938975,-0.1361755349716406,,0.02413482272528416,-0.025121566057504856,-0.11859315316393508,,0.03446799273261313,,0.03279946274242259,-0.026334703067612406,-0.0492010495252482,,,,-0.09097856158283942,0.048817546034343566,-0.010677860174204966,0.01640487698764034,0.08162847327857903,-0.01069730740168331,-0.0015408919395710386,-0.04745640476427988,-0.11691601235840117,0.03348104487527001,0.131248231882263,0.11717462382251921,0.042002616713055684,-0.1264598784315848,0.2766526012325234,-0.024595281257258506,-0.17542134199113227,-0.04487485362229764,0.06306523278015576,0.043922631081910406,0.17685925370182423
3,-0.23075616331563423,,,-0.05811200846707984,0.09848603504463656,,0.26993878700843105,0.4433664204631913,,-0.08611217291936273,0.03549277989378253,0.014116359838738756,,-0.2367440153474545,,-0.08895174038231132,,,,,,0.05359131244257549,-0.13279251420581106,,-0.07270106194406906,-0.1226056454960859,-0.019744733998773665,0.05787073551548496,0.055094417725678725,-0.00643761367415964,-0.02997438168774954,-0.14088407087443008,,-0.060967220222343764,-0.04028301854693846,-0.22125109560977263,,-0.005820000971052624,,,-0.10649970696807125,-0.14242876764092355
4,,,,-0.07130618993067475,,,,,,-0.014053116760739526,,,,,,0.007835836680994069,,,,,,0.038077392653064535,-0.01901635996635389,,0.1435913243230746,0.0692129742489102,0.13303293584386686,-0.1369813317360065,0.057778613136189726,-0.11730803045278215,,,,0.015571806077788446,-0.05186656888458086,0.0817081545762976,,,,,-0.13080086534267654,0.056720961944474735
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019105653254228425,,,,,,,,,,,0.20885188218209005,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,-0.015546723144274605,-0.02872390539588912,0.006606886330542366,-0.002730730667314052,0.028250411114375193,0.06835284362510746,-0.08810335975164968,0.07881090987371048,0.0138914551955149,-0.015161477138123249,0.00633089767408074,-0.028892682222160987,-0.30326356369568375,-0.018684961867345345,0.0240392377641697,-0.016356045513061874,0.01071952048093358,0.030470495967250107,-0.014718046762117092,-0.00665566632351179,0.03442080105980504,-0.002298822917615559,-0.028725245486671047,-0.033443156211259956,0.03334938238767878,-0.008252149604009117,0.028148197417641563,-0.0213901181407848,0.00916495232557132,-0.057598986434936474,-0.0050314994847960705,-0.04001869628098607,0.03282270546952881,-0.02603556437258717,-0.03136767921183047,-0.0031112248135973866,-0.04469705170892508,-0.030339822148066936,-0.008668755842368822,0.06419470780762371,0.0028260723782561115,0.0027555627408124006
std,0.17850996061951127,0.0,0.0,0.062154017249209347,0.05123388682990761,0.03177220691153266,0.2915249408695423,0.25915940859888537,0.0,0.04333730830578116,0.024798653276909013,0.06344562427021018,0.0,0.16079905558928342,0.0,0.04547584830363443,0.037054223548545984,0.07967154549249832,0.0,0.0,0.0,0.056292980800878224,0.06561232261750576,0.02276529603705499,0.07721680188882964,0.08655095674731512,0.06150772870593531,0.07125522986561221,0.04774107890827061,0.05126861279260994,0.027625466371536275,0.12174093151633297,0.0843519183529904,0.057364523335989154,0.07912658335812756,0.19652784724782604,0.020101770451666577,0.10982560754179056,0.03620609777992882,0.0011294750274679563,0.12162337929041218,0.12366561032692817
