,Diversity to Extinction rate,Diversity to Origination rate,Diversity to Temperature,Diversity to δ13C,Diversity to 86Sr/87Sr,Diversity to δ34S,Extinction rate to Diversity,Extinction rate to Origination rate,Extinction rate to Temperature,Extinction rate to δ13C,Extinction rate to 86Sr/87Sr,Extinction rate to δ34S,Origination rate to Diversity,Origination rate to Extinction rate,Origination rate to Temperature,Origination rate to δ13C,Origination rate to 86Sr/87Sr,Origination rate to δ34S,Temperature to Diversity,Temperature to Extinction rate,Temperature to Origination rate,Temperature to δ13C,Temperature to 86Sr/87Sr,Temperature to δ34S,δ13C to Diversity,δ13C to Extinction rate,δ13C to Origination rate,δ13C to Temperature,δ13C to 86Sr/87Sr,δ13C to δ34S,86Sr/87Sr to Diversity,86Sr/87Sr to Extinction rate,86Sr/87Sr to Origination rate,86Sr/87Sr to Temperature,86Sr/87Sr to δ13C,86Sr/87Sr to δ34S,δ34S to Diversity,δ34S to Extinction rate,δ34S to Origination rate,δ34S to Temperature,δ34S to δ13C,δ34S to 86Sr/87Sr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.805249451559839,0.20183736856719034,-0.0730243551154328,0.21506684345067442,0.20469586055875108,-0.2711994481761176,-0.7689042135614017,-0.39832868438585806,0.060955905944678604,,0.0765767025347612,-0.20001116351984233,-0.3142368807352261,-0.21892433334031983,0.0068337268952672284,,0.15480403943134582,-0.1710514338066892,-0.09628715168872004,-0.12697468856952046,0.10976302333734875,-0.0023446667048165064,0.1410314025849882,0.2507127492631094,0.0541939500306913,,,-0.35112689862022445,-0.03423409772988773,0.060340907293754666,-0.12378482748284828,0.3893772505544974,0.08143024751611866,0.05692294290839072,0.16695092766744285,-0.44215301642452776,0.0664838065891151,0.1138154715813869,0.14941683485192692,0.5459236100680044,-0.15170365293531668,0.1913227821837002
2,0.3192868353471665,,,,-0.047947076888972436,0.18935986213102504,-0.7247620753154481,-0.7198127337026288,,,-0.07791296931045562,-0.06585806945890535,,0.023254653681258182,,,-0.03934997834309921,0.087206165389395,,,,,0.3146327155817273,-0.6123835762142065,,,,,0.014660301810915473,-0.10141530406284896,0.12844041312925225,-0.6334714882935025,0.04951288336782132,-0.7905877936693565,0.08928405228440836,0.77533008666597,-0.028116445812605334,0.028922788379106,0.04551735376248663,-0.47423438931752837,0.041004947685497985,-0.29802032244770105
3,-1.0604041284081056,,,,-0.15066956117334054,,0.0670097061648166,-0.3110644084848065,,,-0.24381423223759482,,,-0.10071410586411825,,,,,,,,,-0.46585562756870563,0.7605446491647099,,,,,,,-0.10466952523978765,0.5324094936086162,,0.8242752700456061,,-0.7856697065016289,,,,0.7883460564990042,,0.6630457025639455
4,0.3498664857384202,,,,-0.07531902900694963,,0.0027884330077770805,-0.4529766509186061,,,-0.11909537796009965,,,0.9027181480423693,,,,,,,,,0.32076304226948826,-0.5543042258499437,,,,,,,0.5315932206887315,-0.26442982418602323,,-0.6029058338327323,,1.3416287326194416,,,,-0.6661534678465963,,-0.6978320219325487
5,1.1669122663025826,,,,0.059247088472051616,,-0.1228022640208437,0.1638112477659679,,,,,,0.8046611917215055,,,,,,,,,0.38273719894626507,0.4515123628105077,,,,,,,-0.6348784634076174,,,0.38145378380149,,-1.7866310737644895,,,,0.3725541251756354,,0.47678253823632194
6,0.29054089552095697,,,,-0.008767725907959973,,0.05024248642780636,0.254864616982582,,,,,,0.36926152739715773,,,,,,,,,-0.3571820950236941,-0.22578880744081437,,,,,,,0.8456217563036839,,,-0.3146676046902586,,2.026426633438113,,,,-0.060638953555676244,,-0.004596536822183578
7,-0.2642686409459466,,,,-0.31437905595550747,,0.06609140046273133,0.347472826048029,,,,,,-0.39944041478082953,,,,,,,,,0.023668531563966096,0.0899692787809271,,,,,,,-0.37808621315062413,,,0.22874839946892,,-1.903481592540617,,,,0.1984273333144271,,0.1955679239943755
8,0.5055205634761752,,,,0.13708728278608578,,-0.10831054157934623,-0.19511866958628438,,,,,,0.21146942157965323,,,,,,,,,0.06402702654065806,0.2652404463591939,,,,,,,0.040704663849622645,,,0.044114120857276194,,1.3353559552817649,,,,-0.4660623444788815,,0.06725871872426956
9,-0.07417052481377351,,,,-0.08588755200805161,,-0.21793295272865607,-0.41161037708127546,,,,,,-0.002581910360676245,,,,,,,,,-0.14645248452561294,-0.06081641973635704,,,,,,,-0.11005701848087285,,,-0.30859657542532154,,-0.6698458600511868,,,,0.7247349614274231,,0.14905411280401362
10,,,,,,,,,,,,,,,,,,,,,,,0.4115704916214532,-0.11392046457413829,,,,,,,,,,0.09771510439078943,,0.5367401673331283,,,,-0.44392741193829954,,-0.07455732112586255
mean,0.22650368930859052,0.20183736856719034,-0.0730243551154328,0.21506684345067442,-0.03132664101376591,-0.040919793022546266,-0.19517555790472937,-0.1914180925958756,0.060955905944678604,,-0.09106146924334722,-0.13293461648937382,-0.3142368807352261,0.17663379756400002,0.0068337268952672284,,0.05772703054412331,-0.04192263420864709,-0.09628715168872004,-0.12697468856952046,0.10976302333734875,-0.0023446667048165064,0.06889402019905336,0.025076599256298814,0.0541939500306913,,,-0.35112689862022445,-0.009786897959486129,-0.020537198384547147,0.021653778467726655,0.005971357920896966,0.06547156544197,-0.038352818614519654,0.1281174899759256,0.042770032605596774,0.01918368038825488,0.07136912998024644,0.09746709430720678,0.05189695193475121,-0.05534935262490935,0.06680255761783305
std,0.6066746716569947,0.0,0.0,0.0,0.14618566596286212,0.2302796551535713,0.3090036080164448,0.34464134494658316,0.0,,0.11444949358549804,0.06707654703046849,0.0,0.41910339206419794,0.0,,0.09707700888722251,0.1291287995980421,0.0,0.0,0.0,0.0,0.29341015811232335,0.4083173987144471,0.0,,,0.0,0.0244471997704016,0.08087810567830181,0.42111124546609896,0.4759572307655703,0.015958682074148668,0.45387880802883607,0.038833437691517245,1.2898544297163328,0.047300126200860215,0.04244634160114045,0.051949740544720145,0.5179402804540338,0.09635430031040734,0.3612870084558084
