,Diversity to Extinction rate,Diversity to Origination rate,Diversity to Temperature,Diversity to δ13C,Diversity to 86Sr/87Sr,Diversity to δ34S,Extinction rate to Diversity,Extinction rate to Origination rate,Extinction rate to Temperature,Extinction rate to δ13C,Extinction rate to 86Sr/87Sr,Extinction rate to δ34S,Origination rate to Diversity,Origination rate to Extinction rate,Origination rate to Temperature,Origination rate to δ13C,Origination rate to 86Sr/87Sr,Origination rate to δ34S,Temperature to Diversity,Temperature to Extinction rate,Temperature to Origination rate,Temperature to δ13C,Temperature to 86Sr/87Sr,Temperature to δ34S,δ13C to Diversity,δ13C to Extinction rate,δ13C to Origination rate,δ13C to Temperature,δ13C to 86Sr/87Sr,δ13C to δ34S,86Sr/87Sr to Diversity,86Sr/87Sr to Extinction rate,86Sr/87Sr to Origination rate,86Sr/87Sr to Temperature,86Sr/87Sr to δ13C,86Sr/87Sr to δ34S,δ34S to Diversity,δ34S to Extinction rate,δ34S to Origination rate,δ34S to Temperature,δ34S to δ13C,δ34S to 86Sr/87Sr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.05043349186635325,0.442795818508316,0.10322550566538671,0.05866254113392078,0.05750420699640266,-0.13174246493635014,-0.7049493762519573,-0.25064384533606293,-0.02843591033324504,-0.0600701828248739,-0.04839809599889834,-0.008993961296431702,-0.3723499929752949,0.006503841484168253,-0.023838076951359064,,0.05813683236709826,-0.029298565600169236,0.14956560715262354,-0.049077981093017184,0.2062076547150144,-0.009861714994277593,0.06995769782808862,0.03294855434648514,-0.2480115820166889,-0.06285281204750956,,-0.062280860862454726,-0.02405005460382183,0.028267756429714734,-0.283118877821701,0.493348639273133,0.18984318171245637,-0.09813208724596952,0.11437521290281111,-0.09395568907392557,-0.053141812350218386,0.009967836533037419,-0.24895361835018548,0.0033083950029550013,-0.16110335149527413,-0.1261404891858821
2,0.061276697616105234,-0.28079454083338984,0.05876242405024875,-0.002435153782690511,0.05491153751015578,-0.062272326305407334,-0.025716080534697656,-0.19730190274090478,-0.20260198290459328,-0.077377921290248,0.03930322559836799,-0.01044664972411443,0.2691617442811094,0.045641386019106785,-0.032231286442252885,,0.06530114010225681,-0.09368295666536518,-0.17711343094442808,0.17253447077286196,-0.13500322401519835,-0.11597632473686746,-0.018035719821882595,0.03942659368591205,0.24132437697471612,0.2313823799564433,,0.035128426883859094,0.04436872995529749,-0.11591761679354254,-0.21873160406362144,-0.20970595223995409,-0.537318888804701,0.03142142351881432,-0.001743384525972912,0.15768319530190267,0.029764736836696854,-0.21180850197435205,0.21348606655027133,0.03575539941261818,0.2829261793595425,0.030279293662812887
3,,,,0.17809707650123108,0.0186051879897285,-0.146904177350703,,,,,,,,,,,-0.04876773023429503,-0.027611963579362825,,,,,,,-0.021650527458447914,,,,,-0.031463947290043225,-0.024532488751067512,,0.4566785021025298,,,-0.04406113214240752,0.228160689043573,,-0.11209185869022142,,-0.25280756686208516,0.48012623789239234
4,,,,-0.14917781197736343,-0.1196499234497987,,,,,,,,,,,,-0.07168054180121296,,,,,,,,0.11966241178386657,,,,,,0.0810534111729876,,-0.4208589581532466,,,0.06350041078253359,,,,,,-0.7202478710893644
5,,,,-0.13400365733363867,0.029776418920098673,,,,,,,,,,,,-0.09388938633110837,,,,,,,,-0.17931033836120538,,,,,,0.1249242986105058,,0.6607086387008931,,,-0.13719728051327262,,,,,,0.6320431101259836
6,,,,,-0.14047715203558547,,,,,,,,,,,,-0.08254075801074147,,,,,,,,,,,,,,-0.29366107960850896,,-0.7097553254793737,,,0.29240264854668424,,,,,,-0.209390885669795
7,,,,,0.17386402770036274,,,,,,,,,,,,0.25392425563563253,,,,,,,,,,,,,,0.21710595029001492,,0.6473275564107677,,,-0.33581969956215335,,,,,,0.02893639559200007
8,,,,,0.10193978398275988,,,,,,,,,,,,0.16809752968048364,,,,,,,,,,,,,,-0.37147400924315965,,-0.17336851854349253,,,0.2470168696220357,,,,,,-0.17796360240094264
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
